% Model:              GenSignalFourierDec18_C44.mph
% Version:            COMSOL 4.4.0.150
% Date:               Dec 12 2013, 09:03
% Table:              Probe Table 1 - 
% k                      l                        , gammac1                , gammas1                , gammac2                , gammas2                , gammac3                , gammas3
7                        2                        37.58204643986923        93.60318817120236        -698.046095648664        -358.1180034749059       267.94011761661386       50.8672760368479
7                        3                        -12.018548747805653      -5.866259569988074       9208.011915290495        28375.02099768148        -5616.810727223987       -8286.026836034973
7                        4                        -0.2612937659115815      -0.14670377617044394     -274.5952828167783       347.3341073171887        54.34008900708818        -121.88964429580483
8                        1                        22.364146453629537       -6.183712468438387       7604.106156956914        -8085.711457606405       -1663.6390379048726      2991.213212728413
8                        2                        94.08130478695554        111.76647231577475       -915.3028242059372       -198.3964905575449       333.4553237531527        -26.561358720796306
8                        3                        -15.466780578144153      -4.724050745475324       26926.32106081862        32708.072285315997       -12093.261869639624      -8173.245810335393
8                        4                        -0.23012839264625562     -0.17559284207549197     -277.14840993923417      372.2507286921518        53.43151853537245        -132.70838387994854
9                        1                        24.77455364695686        -13.579362738102361      6816.573819394311        -12192.796921522007      -1109.4368303978044      4249.361398973793
9                        2                        173.0567461574175        112.04378510735992       -1119.7006962559099      29.78408050903454        388.6049296718829        -130.77414468113784
9                        3                        -19.111829952657445      -2.8563678395353236      51131.55969477398        30140.43742790993        -20337.07146485243       -4985.008165748004
9                        4                        -0.19840956799301335     -0.19348865774702162     -273.55888454028354      398.30185711881495       50.409307914720216       -143.44514876417225
10                       1                        25.645300288912665       -22.655962672047735      4680.323185257148        -16740.999172496726      -65.16181263528415       5563.830496605049
10                       2                        272.4029201084614        82.94149853067196        -1296.929829991066       328.5660420839049        426.95386437793786       -261.8315704823708
10                       3                        -22.830635436036573      -0.22051165213906643     80343.00486804266        16798.906193987466       -29464.798158889636      2652.862615386548
10                       4                        -0.16874641698414106     -0.203700681790707       -265.7396821063676       426.1738619565858        45.72994527583296        -154.44486543792254
11                       1                        24.47971815024664        -33.22772944808321       933.5874925450771        -21437.96872874262       1546.3028286264598       6811.835655815856
11                       2                        386.06304930024413       12.072688683601555       -1432.1864557906883      697.8636223994981        441.8915441082099        -418.73750722713885
11                       3                        -26.491402070319054      3.1940679637273206       111544.44195699086       -11214.963008803781      -37965.8545918623        16012.452012626105
11                       4                        -0.1418715237897148      -0.2087624862687889      -254.97133444434257      455.8247357557011        39.747178443404664       -165.80263607450888
12                       1                        20.78125769802955        -45.01077263821412       -4642.695371631766       -25908.904662016663      3780.7536156790447       7841.0761192871
12                       2                        503.39954741446377       -112.81198828377507      -1510.4169506275284      1135.4261839364044       426.7529291469218        -599.4506480886121
12                       3                        -29.968992182785314      7.353485235113112        140028.59371068468       -57363.93381879665       -43665.62455723155       36056.11140217376
12                       4                        -0.11775283013621696     -0.21035654215105382     -242.03496512733636      486.99165672655363       32.700791181312525       -177.51007577612563
13                       1                        14.070236004928802       -57.619485330289535      -12206.686124717584      -29701.56519360072       6665.514392834884        8472.568167104779
13                       2                        608.7796742413333        -302.56826952187646      -1516.541079099894       1636.9658786923683       374.9235818758425        -800.9272185238515
13                       3                        -33.171384930570184      12.173128807109606       159355.24779417296       -124145.87913710065      -43743.257523174805      63204.2363609625
13                       4                        -0.09611515732325415     -0.20954997690761346     -227.39603318455556      519.3895570761888        24.747397365425513       -189.52477369229382
14                       1                        3.9003349756765147       -70.56457953646736       -21837.6792710328        -32293.858966620028      10192.445175909845       8504.666849373854
14                       2                        681.4357722482944        -565.2138478388569       -1435.5939666590748      2196.345019065251        279.905065703339         -1019.1862384778651
14                       3                        -36.07717567500481       17.524030587504967       161440.95005753532       -212522.43733870238      -34811.49428451079       97091.23522745818
14                       4                        -0.07664768312038106     -0.20701681415552997     -211.3348885351952       552.7718823411014        15.989855676768457       -201.79836979817628
15                       1                        -10.12478378142714       -83.25311771484648       -33518.85916736303       -33104.33696957101       14311.35430469847        7718.350315025666
15                       2                        695.6543564969855        -904.3450775583854       -1252.7382563316332      2805.798182086175        135.32170564051057       -1249.3809538433052
15                       3                        -38.78074312942681       23.26020176622842        136790.8363351468        -321334.9030607939       -13062.473112435546      136323.74721125606
15                       4                        -0.05907372445895476     -0.20319084587685055     -194.0257378042461       586.9404920698107        6.497644717314415        -214.28637958567288
16                       1                        -28.334643577773022      -94.99062685130173       -47121.19844708778       -31505.685949549195      18924.023982443672       5883.777081649401
16                       2                        621.3408181413348        -1317.4765868543218      -953.105086278505        3456.1452443889575       -65.14620283069962       -1485.8519877705185
16                       3                        -41.53731734957364       29.275568213179213       74875.2773120813         -446736.9886774011       25520.068197361194       178255.13665981498
16                       4                        -0.043166020997585264    -0.1983610198028387      -175.58193101225152      621.7398955903882        -3.6803206762938316      -226.95074964498417
17                       1                        -50.97494344659344       -104.98533009007997      -62388.92333845701       -26841.184756891686      23879.051669538603       2768.0764911853767
17                       2                        424.9966966982332        -1794.3768026704124      -521.4286963150371       4136.933461625304        -327.91327736966923      -1722.1294523504766
17                       3                        -44.79501975718449       35.59771106520202        -35353.20919708535       -581671.1851799823       84884.85366448667        218788.89231838752
