% Model:              IncommensuratePeriodicSignals.mph
% Version:            COMSOL 4.4.0.150
% Date:               Feb 4 2014, 05:28
% Table:              Table 4 - Global Evaluation 10 (u(t))
% Time (s)               C1(z)                    C2(z)                    C3(z)
0                        1.0000003229465044       1.0000000712576738       1.0000005804101728
0.0125                   1.0000247186753812       1.0000245384254456       1.0000279635628924
0.025                    1.0114430782534323       1.0114434362609166       1.0115858260742832
0.037500000000000006     1.155511604696239        1.155504288867475        1.1558354778190143
0.05                     1.6204964319684045       1.6204645883703057       1.62083405502375
0.0625                   2.462967048018806        2.4629468707031354       2.463241549663995
0.07500000000000001      3.621929793899899        3.622153654724561        3.622191732191642
0.08750000000000001      4.996292362762779        4.997488405418172        4.9967052086555865
0.1                      6.489329339096722        6.493132857564122        6.490152327965473
0.1125                   8.023380492224607        8.032738071765634        8.024963010899839
0.125                    9.541259524546021        9.560721856544           9.544081777818546
0.1375                   11.00357946969406        11.039433033674763       11.008341982637011
0.15000000000000002      12.3846658308337         12.444888305120372       12.392406306332896
0.1625                   13.668878160624661       13.762933744149683       13.681080432347729
0.17500000000000002      14.847838167575645       14.986351116383345       14.866500743519316
0.1875                   15.91821193904539        16.112567224415066       15.94585318157581
0.2                      16.88018339533622        17.14210525550075        16.91977690238407
0.21250000000000002      17.736342593203112       18.077495230665843       17.79118745233519
0.225                    18.490887428932886       18.92252762112029        18.564427533292534
0.23750000000000002      19.14908788879938        19.681782530240913       19.24469947049882
0.25                     19.71688925439917        20.360294088012903       19.83765614629586
0.2625                   20.2006436487303         20.96332733585087        20.349138246248092
0.275                    20.606915534129023       21.49620795380285        20.78499895650165
0.28750000000000003      20.94234059455128        21.964186450580673       21.150990718845225
0.30000000000000004      21.213524205488337       22.37233105646059        21.452695349417983
0.3125                   21.42696326429917        22.725444390493088       21.695477245272027
0.325                    21.588986832602973       23.028010202216223       21.884452476851994
0.3375                   21.70570884443441        23.28417099750352        22.02446591373008
0.35000000000000003      21.782989604549197       23.497735114013654       22.12007350427343
0.36250000000000004      21.826404088371998       23.672207263394377       22.175529207501896
0.375                    21.841215225054448       23.810832142799974       22.19477684294622
0.3875                   21.83235147093646        23.91663961199141        22.181448236380326
0.4                      21.804387997840028       23.992480854398156       22.138868524975244
0.41250000000000003      21.76153124243509        24.04104856592792        22.07006900051474
0.42500000000000004      21.707606660318728       24.064879610549806       21.97780677621892
0.4375                   21.64604965762029        24.066343635720973       21.86458966818309
0.45                     21.579899751935137       24.047625075948062       21.732703917995785
0.4625                   21.511798035514715       24.010707516514294       21.584242007802576
0.47500000000000003      21.443988028392774       23.95736825280162        21.421127933521145
0.48750000000000004      21.37832001763346        23.889187673419126       21.245137809837953
0.5                      21.31625890662454        23.807573348313884       21.057914622252817
0.5125000000000001       21.258895589852926       23.713794460376562       20.86097696996198
0.525                    21.20696179332835        23.609019167724238       20.65572268835071
0.5375                   21.160848256279156       23.49434669450655        20.443429069230987
0.55                     21.120626071848417       23.37082752465643        20.22525185105749
0.5625                   21.08607094353714        23.239468460082197       20.002225209987483
0.5750000000000001       21.056690045352457       23.101223749871114       19.775264573867755
0.5875                   21.03175115272845        22.956977239380702       19.54517335481231
0.6000000000000001       21.01031366747569        22.80752290026599        19.312653793916976
0.6125                   20.991261139286784       22.65355127483389        19.078321182748905
0.625                    20.973334881521552       22.4956474211226         18.842719995394884
0.6375000000000001       20.955168263346142       22.334302370725855       18.60633999333515
0.65                     20.935321263213137       22.169935945376356       18.369630335775806
0.6625000000000001       20.912314868557257       22.00292545314738        18.133010064301875
0.675                    20.88466490199387        21.833632973511392       17.896873974272232
0.6875                   20.850914857705575       21.66242435777986        17.66159373833877
0.7000000000000001       20.80966732401855        21.489675383060902       17.427514966841006
0.7125                   20.75961357940124        21.31576429778609        17.19495165311915
0.7250000000000001       20.699560957710233       21.141053922042833       16.964179842031637
0.7375                   20.628457594440945       20.96586941898693        16.73543242976051
0.75                     20.5454141955134         20.790479096416277       16.50889670846082
0.7625000000000001       20.449722523334028       20.61508460430126        16.284715642969275
0.775                    20.340870315503043       20.439824198038078       16.06299311389159
0.7875000000000001       20.218552457283348       20.26478869227006        15.843802480866302
0.8                      20.082678267043104       20.090046008936167       15.627197170733597
0.8125                   19.9333748347069         19.915667607244334       15.41322156112371
0.8250000000000001       19.770986423002018       19.741749397653454       15.20192034519541
0.8375                   19.596070022937514       19.56842131438409        14.993344859445607
0.8500000000000001       19.40938717286763        19.395842812522638       14.787555392783899
0.8625                   19.211892267304133       19.224185881319592       14.584619324852332
0.875                    19.004717572450307       19.05361069387297        14.384605701191
0.8875000000000001       18.789155226139226       18.884241307806967       14.18757754670943
0.9                      18.566636528447493       18.71614893558394        13.993583646424417
0.9125000000000001       18.338708860785705       18.5493481551625         13.80265160092727
0.925                    18.10701058243913        18.38380782693826        13.614783721424486
0.9375                   17.87324430932537        18.219473921895315       13.429956724346127
0.9500000000000001       17.63914897694875        18.056298028101548       13.24812543856222
0.9625                   17.40647112951717        17.894263356883876       13.069229929744653
0.9750000000000001       17.176935896833424       17.733400575157102       12.893204750731716
0.9875                   16.95221813587937        17.5737885439808         12.719988595234422
1                        16.73391422844317        17.4155392862405         12.549532512379363
1.0125                   16.523515019377456       17.25877130894619        12.381805116973137
1.0250000000000001       16.322380369021257       17.103578842163515       12.216793803839336
1.0375                   16.13171576775014        16.95000613072632        12.05450174432391
1.05                     15.952551415601349       16.798034747979703       11.894941280942609
1.0625                   15.78572412947538        16.647588449540823       11.738125036305398
1.075                    15.631862375463516       16.498555052005283       11.584056546080845
