% Model:              IncommensuratePeriodicSignals.mph
% Version:            COMSOL 4.4.0.150
% Date:               Feb 2 2014, 18:07
% Table:              Probe Table 1 - 
% l                      k                        , Gamma_lk11             , Gamma_lk12             , Gamma_lk21             , Gamma_lk22             , Gamma_lk31             , Gamma_lk32
3                        4                        -3.826220481740849       -5.540144116989211       -7670.054174569108       5227.383094651916        1856.3151429200238       -2113.522089102742
3                        5                        -6.1246879864299615      -6.218942601387994       -6983.904022752744       12243.312330188346       1114.8657926924643       -4298.0067065817275
3                        6                        -8.874785029864029       -6.3435879012880605      -1832.3419188530534      20617.251514516713       -1245.4363172724406      -6626.9048497050535
3                        7                        -12.01854874797391       -5.866259573671755       9208.011914803763        28375.021000434353       -5616.810727308242       -8286.026836960606
3                        8                        -15.466780579131864      -4.724050748114735       26926.321063960437       32708.07229049316        -12093.261871150637      -8173.245811744004
3                        9                        -19.11182995881836       -2.8563678443658773      51131.55970555032        30140.43743147177        -20337.07146879728       -4985.00816589169
3                        10                       -22.830635462146347      -0.22051165556194974     80343.00489627803        16798.906186397653       -29464.79816774919       2652.862620865868
3                        11                       -26.4914021212644        3.1940679520139383       111544.44199097157       -11214.96304577263       -37965.85459977458       16012.452029100386
3                        12                       -29.968992221858116      7.353485286241266        140028.59373355098       -57363.9339206256        -43665.624554149224      36056.11144077452
3                        13                       -33.171385017091325      12.173128864813407       159355.24774108035       -124145.87928304635      -43743.257487617084      63204.23640745832
3                        14                       -36.07717569511715       17.524030701715674       161440.94984255452       -212522.43753799237      -34811.49418280742       97091.23527541105
3                        15                       -38.78074310547436       23.26020181228523        136790.83578495122       -321334.90320043266      -13062.472891462035      136323.74719790788
3                        16                       -41.537316856876714      29.27556826025466        74875.27633550763        -446736.98854591325      25520.068549230695       178255.13649215642
3                        17                       -44.79501914766661       35.597711181901104       -35353.21011991426       -581671.1843567938       84884.85391470324        218788.8918906171
3                        18                       -49.19553368517518       42.52208311228969        -204812.46561412513      -715409.5570066907       168578.04072601348       252220.97248958144
3                        19                       -55.51998117315088       50.78448240837679        -443523.9813326448       -833171.6103265025       279354.05093800277       271127.7694132067
3                        20                       -64.55236849791254       61.76123170239225        -759735.2745798081       -915822.4268494789       418735.3054674752        266302.8094216292
4                        0                        -0.14859955074014147     0                        -178.81546048009093      0                        41.6304228583284         0
4                        1                        -0.1598922477122272      0.027779146412473033     -179.94975471272764      61.83818202649809        41.28370387919352        -18.766628796569307
4                        2                        -0.19151401032742332     0.043977739145177885     -185.02077823326135      125.18224660405713       40.78287563116692        -38.43295705017238
4                        3                        -0.23527274059996284     0.037546462437811456     -197.70210000392103      188.26719199005947       41.49422184608517        -59.00980609599185
4                        4                        -0.27490657208417835     0.0032212187960878325    -219.1563393272338       244.81706633473004       44.480130662983356       -78.97617386245474
4                        5                        -0.2931301428264175      -0.05006849755925202     -243.9053767999485       288.86889339391564       48.96116406716749        -96.23006886496523
4                        6                        -0.2857130111947601      -0.10413306728092664     -263.722549109747        321.17226259222844       52.761860566415066       -110.17406014540484
4                        7                        -0.2612937659087917      -0.14670377618001496     -274.59528282195424      347.33410731118965       54.34008900901222        -121.88964429437237
4                        8                        -0.23012839263964846     -0.1755928420808388      -277.14840994802125      372.2507286877535        53.43151853831273        -132.70838387923868
4                        9                        -0.19840956798797205     -0.19348865776280277     -273.55888455852255      398.3018571120083        50.409307920784045       -143.44514876345602
4                        10                       -0.16874641697240467     -0.20370068181064482     -265.73968213137596      426.17386195317704       45.72994528384197        -154.4448654388193
4                        11                       -0.14187152377370715     -0.20876248628713512     -254.97133446986572      455.82473576013035       39.74717845105124        -165.8026360779827
4                        12                       -0.11775283009504989     -0.21035654217901723     -242.03496517073836      486.9916567433138        32.700791193682335       -177.51007578513781
4                        13                       -0.09611515730160569     -0.20954997695681854     -227.39603322920084      519.3895571134271        24.74739737649793        -189.5247737082218
4                        14                       -0.07664768310148062     -0.20701681422202256     -211.3348885840478       552.771882398305         15.989855687469571       -201.79836982129018
4                        15                       -0.059073724427843644    -0.20319084593760195     -194.02573784791275      586.9404921512432        6.497644724067868        -214.28637961665208
4                        16                       -0.04316602095806843     -0.19836101991282007     -175.581931052051        621.739895717179         -3.680320675302937       -226.95074969120014
4                        17                       -0.028742663778853483    -0.1927288546003929      -156.08157158312497      657.0484272264548        -14.507880685835062      -239.75978915188534
4                        18                       -0.015657642269520267    -0.18644252688568486     -135.5820235938627       692.7703008824064        -25.956910037892158      -252.68732216174976
4                        19                       -0.0037912119867655747   -0.17961698681880023     -114.12818528782373      728.8294261324882        -38.00446527687291       -265.7117495140019
4                        20                       0.0069582375329240165    -0.17234577568035547     -91.75723184959861       765.1648887978736        -50.631064221182896      -278.81524619689844
