%Time	C1(z) (1), Point: 4	yr1, Point: 4	C2(z) (1), Point: 4	yr2, Point: 4
8.69	0.31447	0.31451	0.30051	0.30053
8.7	0.31281	0.31284	0.31044	0.31047
8.71	0.31116	0.31119	0.32036	0.32039
8.72	0.30953	0.30956	0.33024	0.33027
8.73	0.30792	0.30795	0.3401	0.34012
8.74	0.30633	0.30636	0.34992	0.34994
8.75	0.30476	0.30479	0.35969	0.35972
8.76	0.30321	0.30324	0.36943	0.36945
8.77	0.30168	0.3017	0.37911	0.37914
8.78	0.30016	0.30019	0.38875	0.38877
8.79	0.29867	0.2987	0.39833	0.39835
8.8	0.2972	0.29723	0.40785	0.40787
8.81	0.29575	0.29577	0.4173	0.41733
8.82	0.29432	0.29434	0.42669	0.42672
8.83	0.29291	0.29293	0.43601	0.43604
8.84	0.29152	0.29154	0.44526	0.44528
8.85	0.29015	0.29017	0.45442	0.45445
8.86	0.2888	0.28882	0.46351	0.46353
8.87	0.28747	0.2875	0.47251	0.47253
8.88	0.28617	0.28619	0.48142	0.48144
8.89	0.28488	0.2849	0.49024	0.49026
8.9	0.28362	0.28364	0.49896	0.49898
8.91	0.28238	0.2824	0.50758	0.5076
8.92	0.28116	0.28118	0.5161	0.51612
8.93	0.27996	0.27998	0.52451	0.52453
8.94	0.27879	0.27881	0.53281	0.53283
8.95	0.27763	0.27765	0.541	0.54102
8.96	0.2765	0.27652	0.54908	0.54909
8.97	0.27539	0.27541	0.55703	0.55705
8.98	0.27431	0.27432	0.56486	0.56488
8.99	0.27324	0.27326	0.57256	0.57258
9	0.2722	0.27222	0.58014	0.58016
9.01	0.27118	0.2712	0.58758	0.5876
9.02	0.27019	0.2702	0.59489	0.59491
9.03	0.26921	0.26923	0.60207	0.60208
9.04	0.26827	0.26828	0.6091	0.60911
9.05	0.26734	0.26735	0.61598	0.616
9.06	0.26644	0.26645	0.62272	0.62274
9.07	0.26556	0.26557	0.62931	0.62933
9.08	0.2647	0.26471	0.63575	0.63576
9.09	0.26387	0.26388	0.64204	0.64205
9.1	0.26306	0.26307	0.64817	0.64818
9.11	0.26227	0.26228	0.65413	0.65414
9.12	0.26151	0.26152	0.65994	0.65995
9.13	0.26077	0.26078	0.66558	0.66559
9.14	0.26006	0.26007	0.67106	0.67107
9.15	0.25937	0.25938	0.67636	0.67638
9.16	0.2587	0.25871	0.6815	0.68152
9.17	0.25806	0.25807	0.68647	0.68648
9.18	0.25744	0.25745	0.69126	0.69127
9.19	0.25685	0.25686	0.69587	0.69588
9.2	0.25628	0.25629	0.7003	0.70032
9.21	0.25573	0.25574	0.70456	0.70458
9.22	0.25521	0.25522	0.70863	0.70865
9.23	0.25472	0.25473	0.71253	0.71254
9.24	0.25425	0.25426	0.71623	0.71624
9.25	0.2538	0.25381	0.71975	0.71976
9.26	0.25338	0.25339	0.72308	0.72309
9.27	0.25298	0.25299	0.72622	0.72623
9.28	0.25261	0.25262	0.72917	0.72919
9.29	0.25226	0.25227	0.73193	0.73194
9.3	0.25193	0.25194	0.7345	0.73451
9.31	0.25163	0.25164	0.73687	0.73688
9.32	0.25136	0.25137	0.73905	0.73906
9.33	0.25111	0.25112	0.74103	0.74104
9.34	0.25089	0.2509	0.74281	0.74283
9.35	0.25069	0.2507	0.7444	0.74442
9.36	0.25051	0.25052	0.74579	0.74581
9.37	0.25036	0.25037	0.74699	0.747
9.38	0.25024	0.25025	0.74798	0.748
9.39	0.25014	0.25015	0.74878	0.74879
9.4	0.25007	0.25008	0.74937	0.74939
9.41	0.25002	0.25003	0.74977	0.74978
9.42	0.24999	0.25	0.74996	0.74998
9.43	0.24999	0.25	0.74996	0.74997
9.44	0.25002	0.25003	0.74975	0.74977
9.45	0.25007	0.25008	0.74935	0.74936
9.46	0.25014	0.25016	0.74875	0.74876
9.47	0.25024	0.25026	0.74794	0.74796
9.48	0.25037	0.25038	0.74694	0.74695
9.49	0.25052	0.25053	0.74574	0.74575
9.5	0.25069	0.25071	0.74434	0.74435
9.51	0.25089	0.25091	0.74274	0.74275
9.52	0.25112	0.25113	0.74094	0.74096
9.53	0.25137	0.25138	0.73895	0.73897
9.54	0.25164	0.25166	0.73676	0.73678
9.55	0.25194	0.25196	0.73438	0.7344
9.56	0.25226	0.25228	0.73181	0.73183
9.57	0.25261	0.25263	0.72904	0.72906
9.58	0.25299	0.25301	0.72608	0.7261
9.59	0.25338	0.2534	0.72293	0.72295
9.6	0.25381	0.25383	0.71959	0.71961
9.61	0.25425	0.25428	0.71606	0.71608
9.62	0.25472	0.25475	0.71235	0.71237
9.63	0.25522	0.25525	0.70845	0.70847
9.64	0.25574	0.25577	0.70436	0.70439
9.65	0.25629	0.25631	0.7001	0.70013
9.66	0.25686	0.25688	0.69566	0.69568
9.67	0.25745	0.25748	0.69104	0.69106
9.68	0.25807	0.2581	0.68624	0.68626
9.69	0.25871	0.25874	0.68126	0.68129
9.7	0.25938	0.25941	0.67612	0.67615
9.71	0.26007	0.2601	0.6708	0.67083
9.72	0.26079	0.26082	0.66532	0.66535
9.73	0.26152	0.26155	0.65967	0.6597
9.74	0.26229	0.26232	0.65385	0.65388
9.75	0.26307	0.26311	0.64788	0.64791
9.76	0.26389	0.26392	0.64174	0.64177
9.77	0.26472	0.26475	0.63545	0.63548
9.78	0.26558	0.26561	0.62901	0.62904
9.79	0.26646	0.26649	0.62241	0.62244
9.8	0.26737	0.26739	0.61566	0.61569
9.81	0.26829	0.26832	0.60877	0.6088
9.82	0.26925	0.26927	0.60174	0.60176
9.83	0.27022	0.27025	0.59456	0.59459
9.84	0.27122	0.27124	0.58725	0.58727
9.85	0.27224	0.27226	0.5798	0.57982
9.86	0.27328	0.27331	0.57222	0.57224
9.87	0.27435	0.27437	0.56451	0.56453
9.88	0.27544	0.27546	0.55668	0.5567
9.89	0.27655	0.27657	0.54872	0.54874
9.9	0.27768	0.2777	0.54065	0.54066
9.91	0.27884	0.27886	0.53245	0.53247
9.92	0.28002	0.28003	0.52415	0.52416
9.93	0.28122	0.28123	0.51573	0.51574
9.94	0.28244	0.28245	0.50721	0.50722
9.95	0.28368	0.2837	0.49858	0.49859
9.96	0.28495	0.28496	0.48986	0.48987
9.97	0.28624	0.28625	0.48104	0.48105
9.98	0.28754	0.28755	0.47213	0.47213
9.99	0.28887	0.28888	0.46312	0.46313
10	0.29022	0.29023	0.45404	0.45404
