% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
2                        1                        1                        1.2768652163097553E-15   -1.0097406130573896E-15  3.2582646163652484E-14   -4.1430884017083337E-14  -1.2664454023809958E-14  2.214926146015825E-14
2                        1                        2                        -1.1520234404313001E-16  1.0739045542912687E-16   -2.097971007161947E-15   1.193146363389014E-15    9.328035863689257E-16    -7.151498352043093E-16
2                        1                        3                        4.787304762197877        -2.7892653895595227      194.39497108381312       -253.99009166081504      -72.5486653846163        132.02675626422936
2                        1                        4                        -1.918520367733869E-16   3.2658885641566745E-17   -1.39628560991148E-14    6.776946532946403E-15    5.936786131923021E-15    -4.170777545793582E-15
2                        2                        1                        -1.7448887553221904E-16  -2.2064951426042112E-16  -7.159490537432269E-15   -5.630465109006708E-15   3.827517360472957E-15    2.1884891161865615E-15
2                        2                        2                        2.623678752487273E-16    2.814532642542121E-16    2.9150009185846854E-15   5.1255969935441076E-15   -1.7471975698146036E-15  -2.2789520167526376E-15
2                        2                        3                        -9.987300129176815E-16   -1.7141520361913303E-15  -9.094420648348723E-14   -6.960545694526907E-14   4.727376766757689E-14    2.5976922019710086E-14
2                        2                        4                        -6.2627124454632E-19     -3.6789808188080096E-18  -1.299556508448822E-16   -2.677536325826653E-16   7.997939896055364E-17    1.1384462042760831E-16
3                        1                        1                        1.0212780164820957E-16   -1.4706751855605896E-16  1.4342857309127597E-15   -5.717821173126899E-15   -1.5484915832795598E-16  2.9892973726066082E-15
3                        1                        2                        -0.31219933172807784     0.5623385615453717       -6.759988996542963       6.3706558266135005       2.7849553491382504       -3.811176749933468
3                        1                        3                        -2.8297889456974004E-16  2.7619660391042704E-16   -5.5956968888899926E-15  2.3644767510112614E-14   3.5446531386414805E-16   -1.1993203634401827E-14
3                        1                        4                        -4.148820903490919E-16   1.013928893355385E-16    -2.7706710842458723E-14  2.1450399835446692E-14   1.1103797295179232E-14   -1.3210689536676237E-14
3                        2                        1                        -1.0001763114542019E-15  -6.945504279422128E-16   -3.888574001007069E-14   -9.75428582742717E-15    2.0329604043985864E-14   1.0530976624476722E-15
