%Time	C(z) (1), Point: 2	w1, Point: 2	w2, Point: 2	Gamma, Point: 2
19.175	1.00003	1	-0.0405	16.0962
19.2	1.00005	1	-0.04358	16.1028
19.225	1.00008	1	-0.04666	16.10938
19.25	1.00009	1	-0.04972	16.11594
19.275	1.00007	1	-0.05278	16.12249
19.3	1.00004	1	-0.05583	16.12901
19.325	1.00001	1	-0.05887	16.13552
19.35	1.00002	1	-0.0619	16.14201
19.375	1.00004	1	-0.06493	16.14847
19.4	1.00005	1	-0.06794	16.15491
19.425	1.00005	1	-0.07094	16.16133
19.45	1.00003	1	-0.07393	16.16772
19.475	1	1	-0.07691	16.17408
19.5	0.99999	1	-0.07988	16.18042
19.525	0.99999	1	-0.08283	16.18673
19.55	1.00001	1	-0.08578	16.19301
19.575	1.00003	1	-0.08871	16.19926
19.6	1.00003	1	-0.09162	16.20548
19.625	1.00001	1	-0.09452	16.21167
19.65	0.99999	1	-0.09741	16.21782
19.675	0.99997	1	-0.10028	16.22394
19.7	0.99997	1	-0.10313	16.23002
19.725	1	1	-0.10597	16.23607
19.75	1.00002	1	-0.10879	16.24208
19.775	1.00003	1	-0.1116	16.24806
19.8	1.00001	1	-0.11438	16.25399
19.825	0.99997	1	-0.11715	16.25989
19.85	0.99996	1	-0.11991	16.26574
19.875	0.99997	1	-0.12264	16.27156
19.9	1	1	-0.12535	16.27733
19.925	1.00002	1	-0.12805	16.28306
19.95	1.00002	1	-0.13072	16.28874
19.975	0.99999	1	-0.13337	16.29438
20	0.99996	1	-0.13601	16.29997
